date,type,value
2012-03-24,Accessory Dwelling Unit,88.10109289617486
2012-03-25,Accessory Dwelling Unit,88.10109289617486
2012-03-26,Accessory Dwelling Unit,88.10109289617486
2012-03-27,Accessory Dwelling Unit,88.10109289617486
2012-03-28,Accessory Dwelling Unit,88.10109289617486
2012-03-29,Accessory Dwelling Unit,88.10109289617486
2012-03-30,Accessory Dwelling Unit,88.10109289617486
2012-03-31,Accessory Dwelling Unit,88.10109289617486
2012-04-01,Accessory Dwelling Unit,88.10109289617486
2012-04-02,Accessory Dwelling Unit,88.10109289617486
2012-04-03,Accessory Dwelling Unit,88.10109289617486
2012-04-04,Accessory Dwelling Unit,91.68579234972678
2012-04-05,Accessory Dwelling Unit,91.68579234972678
2012-04-06,Accessory Dwelling Unit,91.68579234972678
2012-04-07,Accessory Dwelling Unit,90.16120218579235
2012-04-08,Accessory Dwelling Unit,90.16120218579235
2012-04-09,Accessory Dwelling Unit,90.16120218579235
2012-04-10,Accessory Dwelling Unit,90.16120218579235
2012-04-11,Accessory Dwelling Unit,90.16120218579235
2012-04-12,Accessory Dwelling Unit,90.16120218579235
2012-04-13,Accessory Dwelling Unit,90.16120218579235
2012-04-14,Accessory Dwelling Unit,90.16120218579235
2012-04-15,Accessory Dwelling Unit,90.16120218579235
2012-04-16,Accessory Dwelling Unit,90.16120218579235
2012-04-17,Accessory Dwelling Unit,90.16120218579235
2012-04-18,Accessory Dwelling Unit,90.16120218579235
2012-04-19,Accessory Dwelling Unit,90.16120218579235
2012-04-20,Accessory Dwelling Unit,88.68579234972678
2012-04-21,Accessory Dwelling Unit,88.68579234972678
2012-04-22,Accessory Dwelling Unit,88.68579234972678
2012-04-23,Accessory Dwelling Unit,88.68579234972678
2012-04-24,Accessory Dwelling Unit,88.68579234972678
2012-04-25,Accessory Dwelling Unit,88.68579234972678
2012-04-26,Accessory Dwelling Unit,88.68579234972678
2012-04-27,Accessory Dwelling Unit,88.68579234972678
2012-04-28,Accessory Dwelling Unit,88.68579234972678
2012-04-29,Accessory Dwelling Unit,84.3743169398907
2012-04-30,Accessory Dwelling Unit,84.3743169398907
2012-05-01,Accessory Dwelling Unit,85.68579234972678
2012-05-02,Accessory Dwelling Unit,88.18852459016394
2012-05-03,Accessory Dwelling Unit,88.18852459016394
2012-05-04,Accessory Dwelling Unit,88.18852459016394
2012-05-05,Accessory Dwelling Unit,85.18306010928961
2012-05-06,Accessory Dwelling Unit,85.18306010928961
2012-05-07,Accessory Dwelling Unit,85.18306010928961
2012-05-08,Accessory Dwelling Unit,88.05191256830601
2012-05-09,Accessory Dwelling Unit,92.7896174863388
2012-05-10,Accessory Dwelling Unit,92.7896174863388
2012-05-11,Accessory Dwelling Unit,93.60928961748634
2012-05-12,Accessory Dwelling Unit,93.60928961748634
2012-05-13,Accessory Dwelling Unit,93.60928961748634
